symbol,cik,name,sector,exchange
TOL,794170,"Toll Brothers, Inc.",Industrials,NYSE
WSO,105016,WATSCO INC,Industrials,NYSE
RRX,82811,REGAL REXNORD CORP,Industrials,NYSE
FWONK,1560385,Liberty Media Corp,Communication Services,Nasdaq
TROW,1113169,PRICE T ROWE GROUP INC,Financials,Nasdaq
APP,1751008,AppLovin Corp,Information Technology,Nasdaq
SNDK,2023554,Sandisk Corp,Information Technology,Nasdaq
USFD,1665918,US Foods Holding Corp.,Industrials,NYSE
OC,1370946,Owens Corning,Materials,NYSE
HAS,46080,"HASBRO, INC.",Consumer Discretionary,Nasdaq
POOL,945841,POOL CORP,Industrials,Nasdaq
DKS,1089063,"DICK'S SPORTING GOODS, INC.",Consumer Discretionary,NYSE
ON,1097864,ON SEMICONDUCTOR CORP,Information Technology,Nasdaq
EW,1099800,Edwards Lifesciences Corp,Health Care,NYSE
LII,1069202,LENNOX INTERNATIONAL INC,Industrials,NYSE
HSY,47111,HERSHEY CO,Consumer Staples,NYSE
MRNA,1682852,"Moderna, Inc.",Health Care,Nasdaq
DPZ,1286681,DOMINOS PIZZA INC,Industrials,Nasdaq
CIEN,936395,CIENA CORP,Information Technology,NYSE
HST,1070750,"HOST HOTELS & RESORTS, INC.",Real Estate,Nasdaq
WYNN,1174922,WYNN RESORTS LTD,Consumer Discretionary,Nasdaq
DOV,29905,DOVER Corp,Industrials,NYSE
DRI,940944,DARDEN RESTAURANTS INC,Consumer Discretionary,NYSE
MTD,1037646,METTLER TOLEDO INTERNATIONAL INC/,Health Care,NYSE
EVR,1360901,Evercore Inc.,Financials,NYSE
NXT,1852131,Nextpower Inc.,Information Technology,Nasdaq
A,1090872,"AGILENT TECHNOLOGIES, INC.",Health Care,NYSE
CHKP,1015922,CHECK POINT SOFTWARE TECHNOLOGIES LTD,Information Technology,Nasdaq
COO,711404,"COOPER COMPANIES, INC.",Health Care,Nasdaq
SAIA,1177702,SAIA INC,Industrials,Nasdaq
TER,97210,"TERADYNE, INC",Health Care,Nasdaq
TTMI,1116942,TTM TECHNOLOGIES INC,Information Technology,Nasdaq
JAZZ,1232524,Jazz Pharmaceuticals plc,Health Care,Nasdaq
EFX,33185,EQUIFAX INC,Information Technology,NYSE
PODD,1145197,INSULET CORP,Health Care,Nasdaq
